,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Lelah_kuritwit,Akun @anniv_august17 kena suspend tolong jgn di rerroll,,5001,121,48323,10721,"I will send one random follower $100 in 24hrs all you have to do is RT and be following myself with notifications on 🔔 

COME ON ENGLAND 3-0 

#ComeOnEngland #WorldCup #WorldCup2022 #FIFAWorldCup",[]
1,An11Dai,,,1425,86,3044,433,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and entry to the #Web3 #WorldCup #Campaign

👀Medium https://t.co/oi2bggefXb
 
👉Soquest:https://t.co/E9Z9pCxr8q

🎯 Powered by @Web3Go @_p12_  @0xNawarat  @metaestate_com  @Port3Network https://t.co/BhSyblvpWX","['Collab', 'Giveaway', 'Wristband', 'Wristband', 'Web3', 'WorldCup', 'Campaign']"
2,ALY_WINS,BIG WINS💲🍀                                                                  #supREMIcy #callistars #fambun #noizzy #gemeut #YnahAnak #MissyAngels,,3011,277,113780,10721,"I will send one random follower $100 in 24hrs all you have to do is RT and be following myself with notifications on 🔔 

COME ON ENGLAND 3-0 

#ComeOnEngland #WorldCup #WorldCup2022 #FIFAWorldCup",[]
3,tokonedia,"#pickaw #twitterpicker #sorteos #sweenpi  I ❤️ U all       Please pick me . I dream it, I want it, I get it",Java,3015,89,13338,10721,"I will send one random follower $100 in 24hrs all you have to do is RT and be following myself with notifications on 🔔 

COME ON ENGLAND 3-0 

#ComeOnEngland #WorldCup #WorldCup2022 #FIFAWorldCup",[]
4,miyakilee,🌟🧧🌟 Kindness is inexpensive. 🌟🧧🌟 مياكي لي 🌟 Μιγιάκι λι .🌟🧧🌟ミヤキ•リー 🎍,,591,647,343886,12,Japan depart with big wins but quarter-final dream unfulfilled https://t.co/Xxt65NhC9f https://t.co/Dt5oCQf31L,[]
5,0xcryptodaci,"goal: financial freedom 💰 crypto HOLDER 
a dreamer, collector, hunter, and MONEYfesting big wins 💰✨💸💵
$LEON #BNB $CROGE #CRO #BTC",Republic of the Philippines,3610,182,30974,0,since this worldcup is full of surprises,[]
6,ace_47lfc,LFC HOME & AWAY #JFT97 #lfcfamily #YNWA,United Kingdom,264,347,647,832,"The most prominent flag at the #WorldCup in Qatar, Palestine 🇵🇸 https://t.co/rtxdV31CtN",['WorldCup']
7,SriLankaNews365,Sri Lanka News | Quick Updates | Telegram - https://t.co/TmAlNm4Cih | Discord Community - https://t.co/vXqkWmrqy6,Sri Lanka,7,39,25719,3,"FIFA World Cup: Brazil dominates South Korea 4-1

Details: https://t.co/VRuN1SWsXS

#SLnews #News1st #SriLanka #lka #FIFA #WorldCup #Brazil #SouthKorea #QuarterFinal https://t.co/Jj9Gu3BTFe","['SLnews', 'News1st', 'SriLanka', 'lka', 'FIFA']"
8,jacl04,🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪,,1049,56,4820,10721,"I will send one random follower $100 in 24hrs all you have to do is RT and be following myself with notifications on 🔔 

COME ON ENGLAND 3-0 

#ComeOnEngland #WorldCup #WorldCup2022 #FIFAWorldCup",[]
9,Digiasset_indo,"Platform Jual-Beli Aset Digital Crypto di Indonesia 
Mau Trading ? di Digiassetindo aja

https://t.co/XWfVy6gv1p
https://t.co/iVv2dpnUa4",indonesia,16,3783,657,0,"💸Announce World Cup Event. Get ready for the next round of thrilling soccer matches - it's time to watch your favorite team play!
Let's play guess the winner with Digiasset! 
https://t.co/9cmYkWET2v

#digiasset #exchange #worldcup #quarterfinal #event #coin #Token https://t.co/xGpGbH2UoR","['digiasset', 'exchange', 'worldcup', 'quarterfinal', 'event', 'coin', 'Token']"
10,CASaddamKhan9,,Nagpur,1325,269,58360,832,"The most prominent flag at the #WorldCup in Qatar, Palestine 🇵🇸 https://t.co/rtxdV31CtN",['WorldCup']
11,Kartika_1803,"Ganti TW lagi
Semoga ini bisa bertahan lama dan membawa berkah Aamiin",,1961,35,8934,10721,"I will send one random follower $100 in 24hrs all you have to do is RT and be following myself with notifications on 🔔 

COME ON ENGLAND 3-0 

#ComeOnEngland #WorldCup #WorldCup2022 #FIFAWorldCup",[]
12,NungXaychli,,,11,5,2838,1,"World Cup

#บอลโลก2022 #ฟุตบอลโลก2022 
#WorldCup2022 #เรื่องบอลต้องมาก่อน
#fifaorldCup2022 #FIFAWorldCup 
#WorldCup #TrueIDWorldCup2022 https://t.co/e3TNnz3XwT","['บอลโลก2022', 'ฟุตบอลโลก2022', 'WorldCup2022', 'เรื่องบอลต้องมาก่อน', 'fifaorldCup2022', 'FIFAWorldCup', 'WorldCup']"
13,shafeehyd,,,137,21,434,16,"#WorldCup host #Qatar seeks to change minds on #Islam 

Proudly Muslim Qatar has taken advantage of the World Cup to reach out to the hundreds of thousands of visiting fans to change minds about Islam or even make conversions.

https://t.co/PqTSRZR8PN","['WorldCup', 'Qatar', 'Islam']"
14,melissaaputri,"Sex Day's

#Aptospad_DAO",,71,16,181,156,"🥳 Welcome to end the 2022 #WorldCup group stage

We launched the event for the APD WL role 

Rule:
1. Follow
2. Like, RT &amp; Tag at least 5 frens &amp; your ID Discord
3. Invite at least 5 frens join Discord 
4. Reach level 8 in Discord 

🎁 The first 50 will get WL role 
😙Hurry 🆙 https://t.co/RBqytfoWML",['WorldCup']
15,An11Dai,,,1425,86,3044,450,"📢Launch #Collab #Giveaway for #Wristband

🎁Wear #Wristband and entry to the #Web3 #WorldCup #Campaign

💌Medium
https://t.co/nXdBk6U4aH
 
👇Soquest
https://t.co/tBNkXoFe7E

🎯Powered by 
@GameBoyNFTs Gameboys! Let's join in!!
@_p12_  
@0xNawarat 
@metaestate_com  
@Port3Network https://t.co/SNkHg22pZo","['Collab', 'Giveaway', 'Wristband', 'Wristband', 'Web3', 'WorldCup', 'Campaign']"
16,Goal_India,This Is Everything.,India,48,643187,275319,0,"From I-League to World Cup, your favourite TV Guide is at your service 😎

📺📲 https://t.co/gbMf9DSXhf 

#HeroILeague #WorldCup #FootballOnTV https://t.co/V1SMZBxeFv","['HeroILeague', 'WorldCup', 'FootballOnTV']"
17,Rishi3065,"Kashmir ton lake Punjab ve
tu patt lae munde Multan de
Tere kale soot pan te 
ban-than ai bani mitraan di
jaan te",Delhi se nahi hu bc,2347,167,24332,2,"Failure and deprivation are the best educators and purifiers.
Albert Einstein

📸 Darryl Cott

#test #series #vs #Australia #at #adelaide #preparstion #for #the #worldcup #hockey #odisha #2023 https://t.co/VsAXHhPHuR","['test', 'series', 'vs', 'Australia']"
