,Time,User,Tweet
0,2022-12-28 14:00:03+00:00,AlMosahf,ذَلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ
1,2022-12-28 13:59:37+00:00,physicsvids_,RT @finetraitt: https://t.co/WAO7ypqMUs
2,2022-12-28 13:59:33+00:00,physicsvids_,RT @expensiveaccide: https://t.co/58QKys2DOq
3,2022-12-28 13:59:30+00:00,physicsvids_,RT @expensiveaccide: Ship sliced in half https://t.co/DopT5DRvKZ
4,2022-12-28 13:58:02+00:00,Fact,Intelligent men tend to be more faithful.
5,2022-12-28 13:55:00+00:00,AlMosahf,https://t.co/zS1AD8QSEa
6,2022-12-28 13:54:24+00:00,antiseso,https://t.co/aNGlXq5Xpx
7,2022-12-28 13:52:00+00:00,AlMosahfEN,"وَلَوْ فَتَحْنَا عَلَيْهِم بَابًا مِّنَ السَّمَاءِ فَظَلُّوا فِيهِ يَعْرُجُونَ

And [even] if We opened to them a g… https://t.co/IbllraeCa6"
8,2022-12-28 13:50:30+00:00,AlMosahf,فَلِلَّهِ الْعِزَّةُ جَمِيعًا
9,2022-12-28 13:49:02+00:00,Fact,"After death, your body begins to decompose and the atoms/energy from which you were made is recycled into the Earth to be used again."
10,2022-12-28 13:47:08+00:00,CrappyDesigned,RT @finetraitt: 😮 https://t.co/SUxjNywByp
11,2022-12-28 13:47:06+00:00,CrappyDesigned,RT @finetraitt: Amazing Skills and Strength! https://t.co/hug09mUUhe
12,2022-12-28 13:46:20+00:00,AbsoluteCIown,RT @mademe__smile: Christmas gift https://t.co/IYuuIiuKnf
13,2022-12-28 13:45:30+00:00,AlMosahf,https://t.co/vi7fv4w6wZ
14,2022-12-28 13:44:15+00:00,hartley4keeps,RT @msnatasha_jane: Where’s my cub? I’ve got milk for you 🍼💦 https://t.co/gHPcBANzhD
15,2022-12-28 13:44:04+00:00,AlAhly,"#يوم_المباراة 
🆚 سيراميكا 
الدوري الممتاز 🏆 
07:00 🕖

#يلا_يا_أهلي https://t.co/qleDpupNpU"
16,2022-12-28 13:42:30+00:00,AlMosahfEN,"فَتَقَبَّلَهَا رَبُّهَا بِقَبُولٍ حَسَنٍ وَأَنْبَتَهَا نَبَاتًا حَسَنًا وَكَفَّلَهَا زَكَرِيَّا ۖ 

Her Lord accept… https://t.co/x1yTD71ZQM"
17,2022-12-28 13:40:03+00:00,Fact,Are you eating too much sugar? Don't ignore these 7 warning signs... https://t.co/qrTxRPDK82
18,2022-12-28 13:40:00+00:00,AlMosahf,وَلَقَّاهُمْ نَضْرَةً وَسُرُورًا
19,2022-12-28 13:39:43+00:00,nocontextfooty,https://t.co/9z4lAmR2U7
