,Time,User,Tweet
0,2022-12-06 02:49:10+00:00,OldandNowPic,RT @tunesintern: he on kevin gates timing😭
1,2022-12-06 02:49:08+00:00,OldandNowPic,RT @FitnessTips24x7: https://t.co/ZwFkoD677I
2,2022-12-06 02:49:06+00:00,OldandNowPic,RT @FitnessTips24x7: 20 fat burning exercises https://t.co/Gy66XZ4abC
3,2022-12-06 02:49:00+00:00,heyLazy_,i just wanna sleep &amp; not feel anything
4,2022-12-06 02:47:06+00:00,PerfectlyCutSho,"RT @RubbaBandDaRula: Let me find that hospital and my ass gon be sick everyday, them jokers was thick 😂"
5,2022-12-06 02:47:03+00:00,PerfectlyCutSho,RT @EvilsBuildings: The largest statute in World. https://t.co/DKZGWiraVO
6,2022-12-06 02:47:01+00:00,PerfectlyCutSho,RT @EvilsBuildings: This is a fire station in Italy . https://t.co/efq9dqz6Li
7,2022-12-06 02:45:00+00:00,AlMosahf,{عَسَىٰ أَنْ يَكُونَ قَرِيبًا}
8,2022-12-06 02:44:09+00:00,physicsvids_,RT @Stellax1b: You're amazing man🔥
9,2022-12-06 02:43:35+00:00,Fact,"Football player Ronaldinho once lost a $750,000 deal with Coca-Cola because he took a sip from a Pepsi."
10,2022-12-06 02:42:00+00:00,AlMosahfEN,"وَيَرْزُقْهُ مِنْ حَيْثُ لَا يَحْتَسِبُ ۚ

And will provide for him from where he never expected."
11,2022-12-06 02:40:00+00:00,AlMosahf,{قَدْ أُوتِيتَ سُؤْلَكَ}
12,2022-12-06 02:35:00+00:00,AlMosahf,{وَإِنَّ اللَّهَ لَهُوَ خَيْرُ الرَّازِقِينَ}
13,2022-12-06 02:34:34+00:00,Fact,Best Foods To Eat For A Flat Belly... https://t.co/GDDGxqcbyB
14,2022-12-06 02:32:00+00:00,AlMosahfEN,"فَاسْتَغْفَرَ رَبَّهُ وَخَرَّ رَاكِعًا وَأَنَابَ ۩ 

so he sought forgiveness from his Lord, fell down kneeling, and repented."
15,2022-12-06 02:30:00+00:00,AlMosahf,{أَقِمِ الصَّلاةَ لِدُلُوكِ الشَّمْسِ إِلَى غَسَقِ اللَّيْلِ وَقُرْآنَ الْفَجْرِ إِنَّ قُرْآنَ الْفَجْرِ كَانَ مَشْهُودًا}
